Код ЕИ;Наименование;Краткое;Характеристика
7923;Абонент;АБОНЕНТ;Количество
959;Автомобиле-день;АВТОМОБ. ДН;Время
513;Автотонна;АВТО Т;Масса
260;Ампер;А;Электрический ток
263;Ампер-час (3,6 кКл);А.Ч;Электрический заряд
870;Ампула;АМПУЛ;Объем
109;Ар (100 м²);АР;Площадь
255;Байт;БАЙТ;Информация
2551;Байт в секунду;БАЙТ/С;Скорость передачи данных
9642;Балл;БАЛЛ;Оценка
309;Бар;БАР;Давление
323;Беккерель;БК;Радиоактивность
801;Биллион штук (Европа); Триллион штук;БИЛЛ ШТ(ЕВР); ТРИЛЛ ШТ;Количество
254;Бит;БИТ;Информация
2541;Бит в секунду;БИТ/С;Скорость передачи данных
616;Бобина;БОБ;Длина
258;Бод;БОД;Скорость передачи данных
181;Брутто-регистровая тонна (2;8316 куб.м);БРУТТ. РЕГИСТР Т;Масса
868;Бутылка;БУТ;Объем
950;Вагоно (машино)-день;ВАГ (МАШ). ДН;Время
954;Вагоно-сутки;ВАГ. СУТ;Время
212;Ватт;ВТ;Мощность
243;Ватт-час;ВТ.Ч;Энергия
324;Вебер;ВБ;Магнитный поток
222;Вольт;В;Электрическое напряжение
226;Вольт-ампер;В.А;Мощность
059;Гектар;ГА;Площадь
310;Гектобар;ГБАР;Давление
160;Гектограмм;ГГ;Масса
122;Гектолитр;ГЛ;Объем
833;Гектолитр чистого (100%) спирта;ГЛ ЧИСТ СПИРТ;Объем
287;Генри;ГН;Индуктивность
290;Герц;ГЦ;Частота
2552;Гигабайт в секунду;ГБАЙТ/С;Скорость передачи данных
302;Гигабеккерель;ГИГАБК;Радиоактивность
2547;Гигабит в секунду;ГБИТ/С;Скорость передачи данных
247;Гигаватт-час (миллион киловатт-часов);ГИГАВТ.Ч;Энергия
2931;Гигагерц;ГИГАГЦ;Частота
233;Гигакалория;ГИГАКАЛ;Энергия
238;Гигакалория в час;ГИГАКАЛ/Ч;Мощность
366;Год;ГОД;Время
836;Голова;ГОЛ;Количество
281;Градус Фаренгейта;ГРАД ФАРЕНГ;Температура
280;Градус Цельсия;ЦЕЛЬС;Температура
163;Грамм;Г;Масса
306;Грамм делящихся изотопов;Г ДЕЛЯЩ ИЗОТОП;Масса
510;Грамм на киловатт-час;Г/КВТ.Ч;Энергия
185;Грузоподъемность в метрических тоннах;Т;Масса
730;Два десятка;2ДЕС;Количество
515;Дедвейт-тонна;ДЕДВЕЙТ.Т;Масса
361;Декада;ДЕК;Время
116;Декалитр;ДКЛ;Объем
368;Десятилетие;ДЕСЛЕТ;Время
732;Десять пар;ДЕС ПАР;Количество
3135;Децибел;ДЕЦИБЕЛ;Уровень звука
118;Децилитр;ДЛ;Объем
005;Дециметр;ДМ;Длина
271;Джоуль;ДЖ;Энергия
639;Доза;ДОЗ;Количество
899;Домохозяйство;ДОМХОЗ;Количество
641;Дюжина (12 шт.);ДЮЖИНА;Количество
733;Дюжина пар;ДЮЖИНА ПАР;Количество
737;Дюжина рулонов;ДЮЖИНА РУЛ;Количество
780;Дюжина упаковок;ДЮЖИНА УПАК;Количество
740;Дюжина штук;ДЮЖИНА ШТ;Количество
039;Дюйм (25;4 мм);ДЮЙМ;Длина
642;Единица;ЕД;Количество
922;Знак;ЗНАК;Количество
657;Изделие;ИЗД;Количество
236;Калория в час;КАЛ/Ч;Мощность
661;Канал;КАНАЛ;Количество
977;Канало-километр;КАНАЛ.КМ;Длина
978;Канало-концы;КАНАЛ.КОНЦ;Количество
282;Кандела;КД;Яркость
053;Квадратный дециметр;ДМ2;Площадь
071;Квадратный дюйм (645;16 кв.мм);ДЮЙМ2;Площадь
071;Квадратный дюйм (645;16 мм²);ДЮЙМ²;Площадь
061;Квадратный километр;КМ2;Площадь
055;Квадратный метр;М2;Площадь
084;Квадратный метр жилой площади;М2 ЖИЛ ПЛ;Площадь
